id,salary_pay,salary_rate,salary_avg,salary_min,salary_max,salary_hourly,salary_yearly,salary_standardized,title,company_name,location,via,extensions,posted_at,schedule_type,work_from_home,date_time,description_tokens
16,,,,,,,,,"Data Analyst, Lab & Life Sciences",DispatchHealth Management,United States,via Indeed,"['19 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",19 hours ago,Full-time,,00:12.6,"['looker', 'outlook', 'sharepoint', 'powerpoint', 'word', 'excel']"
17,,,,,,,,,Data Analyst,American Technology Consulting - ATC,United States,via LinkedIn,"['13 hours ago', 'Full-time', 'Health insurance']",13 hours ago,Full-time,,00:12.6,[]
18,,,,,,,,,Data Analyst,Chewy,United States,via BeBee,"['21 hours ago', 'Full-time']",21 hours ago,Full-time,,00:12.6,"['spreadsheet', 'power_bi', 'qlik', 'sql', 'r', 'tableau', 'python']"
19,,,,,,,,,Data Analyst 2 - Remote - 2137867,United Health Group,United States,via Jora,"['5 hours ago', 'Full-time', 'Health insurance']",5 hours ago,Full-time,,00:12.6,"['word', 'sql', 'mysql', 'power_bi', 'excel', 'python']"
20,25 to 26,an hour,25.5,25.0,26.0,25.5,,53040.0,Junior Data Analyst,Educated Solutions Corp,United States,via My Stateline Jobs,"['8 hours ago', '25 to 26 an hour', 'Full-time', 'Health insurance', 'Dental insurance']",8 hours ago,Full-time,,00:14.4,"['excel', 'word']"
21,,,,,,,,,Business Analyst (REMOTE),Metasys Technologies,"Dearing, KS",via SonicJobs,"['4 hours ago', 'Full-time']",4 hours ago,Full-time,,00:14.4,['excel']
22,,,,,,,,,Senior Data Analyst - Cox Communities,Cox Communications,"Springdale, AR",via LinkedIn,"['3 minutes ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",3 minutes ago,Full-time,,00:14.4,"['tableau', 'sql', 'alteryx']"
23,,,,,,,,,"Sr. Financial Data Analytics, Reporting Analyst",Cochlear,United States,via LinkedIn,"['5 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",5 hours ago,Full-time,,00:14.4,"['tableau', 'excel', 'r', 'python']"
24,,,,,,,,,Data Processor I,"Management Science Associates, Inc.",United States,via LinkedIn,"['17 hours ago', 'Full-time', 'No degree mentioned']",17 hours ago,Full-time,,00:14.4,"['excel', 'word']"
25,,,,,,,,,HEALTH POLICY ANALYST II (Data & Evaluation Specialist) REPOST...,State of Maryland,United States,via LinkedIn,"['10 hours ago', 'Full-time', 'Health insurance', 'Dental insurance']",10 hours ago,Full-time,,00:14.4,[]
26,,,,,,,,,Senior Business Intelligence Analyst - R3574-2603,"Chickasaw Nation Industries, Inc.","Lone Grove, OK",via LinkedIn,"['10 hours ago', 'Contractor']",10 hours ago,Contractor,,00:14.4,"['sap', 'tableau', 'sql', 'cognos']"
27,,,,,,,,,Quotation Analyst,ArcBest,"Fort Smith, AR",via LinkedIn,"['6 hours ago', 'Full-time']",6 hours ago,Full-time,,00:14.4,['outlook']
28,,,,,,,,,Business Intelligence Data Analyst,Acumed,United States,via LinkedIn,"['12 hours ago', 'Full-time']",12 hours ago,Full-time,,00:14.4,"['power_bi', 'excel', 'sql', 'sap']"
29,,,,,,,,,Audit Sr. Data Analyst,American Fidelity,"Oklahoma City, OK",via LinkedIn,"['16 hours ago', 'Full-time', 'No degree mentioned']",16 hours ago,Full-time,,00:14.4,"['spreadsheet', 'power_bi', 'excel', 'qlik', 'word', 'sql', 'r', 'python']"
30,,,,,,,,,Data Onboarding Analyst,S&P Global,United States,via LinkedIn,"['16 hours ago', 'Full-time', 'Health insurance']",16 hours ago,Full-time,,00:15.7,"['sql', 'gcp', 'aws']"
31,,,,,,,,,Data and Reporting Analyst,H&R Block,United States,via LinkedIn,"['10 hours ago', 'Full-time']",10 hours ago,Full-time,,00:15.7,"['power_bi', 'sas', 'sql', 'r', 'python']"
32,,,,,,,,,Senior Procurement Analyst,Mimecast,United States,via LinkedIn,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:15.7,"['go', 'tableau', 'powerpoint', 'power_bi', 'matlab', 'sql', 'power_bi', 'excel', 'java', 'r', 'python']"
33,,,,,,,,,Data Analytics Project Lead-Hybrid,Honeywell,"Overland Park, KS",via LinkedIn,"['12 hours ago', 'Full-time']",12 hours ago,Full-time,,00:15.7,['sql']
34,,,,,,,,,Research/Data Analyst,State of Missouri,"Jefferson City, MO",via LinkedIn,"['11 hours ago', 'Full-time', 'Health insurance']",11 hours ago,Full-time,,00:15.7,"['jira', 'tableau', 'cognos']"
35,,,,,,,,,Junior Data Analyst,SynergisticIT,United States,via LinkedIn,"['10 hours ago', 'Full-time']",10 hours ago,Full-time,,00:15.7,"['mysql', 'excel', 'tableau', 'python']"
36,,,,,,,,,Data Analyst,Ozarks Community Hospital,"Springfield, MO",via Indeed,"['12 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance', 'Paid time off']",12 hours ago,Full-time,,00:15.7,['c']
37,,,,,,,,,Analyst Advanced Analytics,NBCUniversal,United States,via WayUp,"['24 hours ago', 'Full-time']",24 hours ago,Full-time,,00:15.7,"['tableau', 'sql', 'r', 'python']"
38,,,,,,,,,Director of Financial Planning and Analysis,Mode,"Oklahoma City, OK",via Startup Jobs,"['16 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance', 'Paid time off']",16 hours ago,Full-time,,00:15.7,"['spreadsheet', 'excel']"
39,,,,,,,,,"Sr. Data Analyst, Operations Data",Virgin Galactic,United States,via Virgin Galactic Careers,"['5 hours ago', 'Full-time', 'Health insurance']",5 hours ago,Full-time,,00:15.7,"['power_bi', 'excel']"
40,,,,,,,,,"Sr. Data Analyst, Logistics",Rivian,United States,via BeBee,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:18.9,"['jira', 'sap', 'tableau', 'power_bi', 'sql', 'alteryx', 'r', 'python']"
41,,,,,,,,,PowerBI Data Analyst,Kelly Mitchell Group,United States,via BeBee,"['3 hours ago', 'Full-time', 'No degree mentioned']",3 hours ago,Full-time,,00:18.9,"['power_bi', 'excel', 'power_bi']"
42,,,,,,,,,Business/Data Analyst,Insight Global 4.0äÖƒ,"Oklahoma City, OK",via Jobs,"['6 hours ago', 'Full-time']",6 hours ago,Full-time,,00:18.9,['excel']
43,,,,,,,,,Problem Management Business Data Analyst Intern,CORPORATE,Missouri,via Tarta.ai,"['4 hours ago', 'Full-time']",4 hours ago,Full-time,,00:18.9,[]
44,,,,,,,,,Sr Data Integrity Analyst,McKesson,United States,via BeBee,"['11 hours ago', 'Full-time', 'Health insurance']",11 hours ago,Full-time,,00:18.9,['snowflake']
45,,,,,,,,,Senior Data Analyst / Platform Experience,Atria Wealth Solutions,United States,via LinkedIn,"['23 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",23 hours ago,Full-time,,00:18.9,"['atlassian', 'postgres', 'jira', 'sql']"
46,,,,,,,,,Data Analyst,Humana,"Rogers, AR",via Nexxt,"['11 hours ago', 'Full-time', 'No degree mentioned']",11 hours ago,Full-time,,00:18.9,"['power_bi', 'excel', 'word', 'sql', 'python', 'powerpoint']"
47,,,,,,,,,Compliance Data Analyst and Reporting Lead,BMO US,United States,via LinkedIn,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:18.9,"['vba', 'powerpoint', 'power_bi', 'excel']"
48,,,,,,,,,Sr. Data Analyst,Ivy Tech Solutions inc,United States,via Adzuna,"['11 hours ago', 'Full-time', 'No degree mentioned']",11 hours ago,Full-time,,00:18.9,"['power_bi', 'excel']"
49,,,,,,,,,Staff Data Analyst,Rock Central,United States,via Indeed,"['17 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",17 hours ago,Full-time,,00:18.9,"['go', 'sas', 'sql', 'r', 'python']"
50,,,,,,,,,"Data Analyst, QMS",MCKESSON,United States,via Adzuna,"['7 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance', 'Paid time off']",7 hours ago,Full-time,,00:21.9,"['spreadsheet', 'jira', 'visio', 'powerpoint', 'word', 'excel']"
51,,,,,,,,,Data Analyst,Specialized Bicycle Components,United States,via BeBee,"['17 minutes ago', 'Full-time', 'Health insurance']",17 minutes ago,Full-time,,00:21.9,"['go', 'excel']"
52,,,,,,,,,SalesForce Data Analyst,Proven Recruiting,United States,via LinkedIn,"['17 hours ago', 'Full-time', 'No degree mentioned']",17 hours ago,Full-time,,00:21.9,['excel']
53,,,,,,,,,Business Data Analyst - Part-time,TEKsystems,"Kansas City, MO",via Snagajob,"['1 hour ago', 'Part-time']",1 hour ago,Part-time,,00:21.9,['jira']
54,,,,,,,,,Data Analyst,Action For Children,United States,via Tarta - Tarta.ai,"['4 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Full-time,,00:21.9,"['tableau', 'outlook', 'alteryx', 'excel']"
55,,,,,,,,,Seismo-Acoustic Data Analyst - SkillBridge,Tasha Lott,United States,via Jora,"['51 minutes ago', 'Internship']",51 minutes ago,Internship,,00:21.9,"['powerpoint', 'shell', 'unix/linux', 'linux', 'perl', 'word', 'sql', 'excel', 'r']"
56,,,,,,,,,Data Operations Analyst,Epiq,"Overland Park, KS",via LinkedIn,"['15 hours ago', 'Full-time']",15 hours ago,Full-time,,00:21.9,"['nuix', 'sql']"
57,,,,,,,,,Data Analyst,Inceed,"Oklahoma City, OK",via LinkedIn,"['13 hours ago', 'Full-time', 'No degree mentioned']",13 hours ago,Full-time,,00:21.9,"['sql', 'tableau', 'power_bi']"
58,25,an hour,25.0,,,25.0,,52000.0,Healthcare Data Analyst,Pediatrics Northwest,United States,via Job,"['4 hours ago', '25 an hour', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Full-time,,00:21.9,[]
59,,,,,,,,,Lead Healthcare Data Modeler,Perficient,Missouri,via LinkedIn,"['15 hours ago', 'Full-time', 'No degree mentioned', 'Paid time off']",15 hours ago,Full-time,,00:21.9,"['jira', 'redshift', 'sql']"
60,,,,,,,,,Data Systems Analyst (2001) Jobs,SMX,United States,via Clearance Jobs,"['20 hours ago', 'Full-time']",20 hours ago,Full-time,,00:24.4,[]
61,,,,,,,,,Business Analytics Analyst,Citi,United States,via Monster,"['24 hours ago', 'Full-time']",24 hours ago,Full-time,,00:24.4,"['powerpoints', 'excel']"
62,,,,,,,,,Business Group Manager - Remediation & Data Analyst Manager - SVP...,Citi,Missouri,via Monster,"['24 hours ago', 'Full-time']",24 hours ago,Full-time,,00:24.4,[]
63,73570 to 110350,a year,91960.0,73570.0,110350.0,,91960.0,91960.0,Program Management Data Analyst,Citi,United States,via Big Country Jobs,"['8 hours ago', '73,570 to 110,350 a year', 'Full-time']",8 hours ago,Full-time,,00:24.4,"['sharepoint', 'sas', 'excel']"
64,105850 to 158780,a year,132315.0,105850.0,158780.0,,132315.0,132315.0,Institutional Credit Management - Lending Data Analyst - Vice...,Citi,United States,via Big Country Jobs,"['20 hours ago', '105,850 to 158,780 a year', 'Full-time']",20 hours ago,Full-time,,00:24.4,"['cognos', 'tableau']"
65,66740 to 93120,a year,79930.0,66740.0,93120.0,,79930.0,79930.0,Business Analytics Analyst,Citi,United States,via JobServe,"['21 hours ago', '66,740 to 93,120 a year', 'Full-time']",21 hours ago,Full-time,,00:24.4,"['powerpoints', 'excel']"
66,,,,,,,,,AVP - Senior Data Analyst,Citi,United States,via BeBee,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:24.4,"['jira', 'tableau', 'sql', 'power_bi', 'excel', 'cognos', 'r', 'python']"
67,,,,,,,,,Data Analyst II,ALTEN,United States,via LinkedIn,"['10 hours ago', 'Full-time', 'No degree mentioned']",10 hours ago,Full-time,,00:24.4,['excel']
68,,,,,,,,,Data Analyst II,ALTEN,United States,via LinkedIn,"['6 hours ago', 'Full-time', 'No degree mentioned']",6 hours ago,Full-time,,00:24.4,['excel']
69,,,,,,,,,"Data Analyst, I II or III - Now Hiring",Jobot,"Stillwater, OK",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:24.4,[]
70,,,,,,,,,"Data Analyst, I II or III - Now Hiring",Jobot,"Stillwater, OK",via Snagajob,"['16 hours ago', 'Full-time', 'No degree mentioned']",16 hours ago,Full-time,,00:26.5,[]
71,,,,,,,,,"Data Analyst, I II or III - Now Hiring",Jobot,"Bartlesville, OK",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:26.5,[]
72,,,,,,,,,"Data Analyst, I II or III - Now Hiring",Jobot,"Stillwater, OK",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:26.5,[]
73,,,,,,,,,"Data Analyst, I II or III - Now Hiring",Jobot,"Bartlesville, OK",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:26.5,[]
74,,,,,,,,,"Data Analyst, I II or III - Now Hiring",Jobot,"Stillwater, OK",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:26.5,[]
75,,,,,,,,,Undergraduate Data Analyst Intern,Ecolab,United States,via LinkedIn,"['5 hours ago', 'Full-time']",5 hours ago,Full-time,,00:26.5,"['tableau', 'ssrs', 'power_bi', 'sql', 'power_bi', 'c', 'r', 'ssis']"
76,,,,,,,,,Undergraduate Data Analyst Intern,Ecolab,United States,via LinkedIn,"['46 minutes ago', 'Full-time']",46 minutes ago,Full-time,,00:26.5,"['tableau', 'ssrs', 'power_bi', 'sql', 'power_bi', 'c', 'r', 'ssis']"
77,,,,,,,,,Senior Data Center Operations Analyst - Unisys,Ensono,"Jefferson City, MO",via Adzuna,"['22 hours ago', 'Full-time', 'No degree mentioned']",22 hours ago,Full-time,,00:26.5,[]
78,,,,,,,,,Senior Data Center Operations Analyst - Unisys,Ensono,"Oklahoma City, OK",via Adzuna,"['22 hours ago', 'Full-time', 'No degree mentioned']",22 hours ago,Full-time,,00:26.5,[]
79,,,,,,,,,Transportation Data Analyst,Cargill,"Wichita, KS",via Jora,"['5 hours ago', 'Full-time', 'No degree mentioned']",5 hours ago,Full-time,,00:26.5,[]
80,,,,,,,,,Transportation Accountant Data Analyst,Cargill,"Wichita, KS",via LinkedIn,"['17 hours ago', 'Full-time']",17 hours ago,Full-time,,00:29.9,"['spreadsheet', 'excel', 'word', 'sap']"
81,,,,,,,,,"Data Analyst, Specialist - I",Infosys,United States,via WJHL Jobs,"['13 hours ago', 'Full-time']",13 hours ago,Full-time,,00:29.9,"['power_bi', 'cognos', 'r', 'tableau', 'python']"
82,,,,,,,,,"Data Analyst, Specialist - I",Infosys,United States,via WJHL Jobs,"['9 hours ago', 'Full-time']",9 hours ago,Full-time,,00:29.9,"['power_bi', 'cognos', 'r', 'tableau', 'python']"
83,,,,,,,,,Senior Data Analyst,Walmart,"Elkins, AR",via ZipRecruiter,"['18 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",18 hours ago,Full-time,,00:29.9,"['tableau', 'spark', 'sql', 'power_bi', 'r', 'python', 'scala']"
84,,,,,,,,,"Manager II, Business Intelligence and Reporting - Pricing",Walmart,"Gravette, AR",via ZipRecruiter,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:29.9,"['tableau', 'powerpoint', 'word', 'sql', 'alteryx', 'excel', 'r', 'python']"
85,,,,,,,,,Senior Data Analyst,Walmart,"Bentonville, AR",via LinkedIn,"['14 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",14 hours ago,Full-time,,00:29.9,"['tableau', 'spark', 'sql', 'power_bi', 'r', 'python', 'scala']"
86,,,,,,,,,Senior Data Analyst,Walmart,"Elkins, AR",via ZipRecruiter,"['14 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",14 hours ago,Full-time,,00:29.9,"['tableau', 'spark', 'sql', 'power_bi', 'r', 'python', 'scala']"
87,,,,,,,,,Senior Data Analyst,Walmart,"Bentonville, AR",via LinkedIn,"['11 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",11 hours ago,Full-time,,00:29.9,"['tableau', 'spark', 'sql', 'power_bi', 'r', 'python', 'scala']"
88,,,,,,,,,Senior Data Analyst (Transportation Optimization) -3,Walmart,"Springdale, AR",via ZipRecruiter,"['18 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",18 hours ago,Full-time,,00:29.9,"['tableau', 'spark', 'power_bi', 'sql', 'power_bi', 'r', 'python', 'scala']"
89,,,,,,,,,Senior Data Analyst (Transportation Optimization) -3,Walmart,"Noel, MO",via ZipRecruiter,"['18 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",18 hours ago,Full-time,,00:29.9,"['tableau', 'spark', 'power_bi', 'sql', 'power_bi', 'r', 'python', 'scala']"
90,,,,,,,,,Senior Data Analyst (Transportation Optimization) -3,Walmart,"Cassville, MO",via ZipRecruiter,"['18 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",18 hours ago,Full-time,,00:31.2,"['tableau', 'spark', 'power_bi', 'sql', 'power_bi', 'r', 'python', 'scala']"
91,,,,,,,,,"(USA) Analyst II, Business Analysis And Insights",Walmart,"Cassville, MO",via ZipRecruiter,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:31.2,[]
92,,,,,,,,,"(USA) Analyst II, Business Analysis And Insights",Walmart,"Anderson, MO",via ZipRecruiter,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:31.2,[]
93,,,,,,,,,"(USA) Analyst II, Business Analysis And Insights",Walmart,"Rogers, AR",via ZipRecruiter,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:31.2,[]
94,,,,,,,,,"(USA) Analyst II, Business Analysis And Insights",Walmart,"Elkins, AR",via ZipRecruiter,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:31.2,[]
95,,,,,,,,,(USA) Senior Data Engineer,Walmart,"Greenland, AR",via ZipRecruiter,"['18 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",18 hours ago,Full-time,,00:31.2,"['c++', 'spark', 'bigquery', 'nosql', 'sql', 'java', 'python', 'scala']"
96,,,,,,,,,"(USA) Analyst II, Business Analysis And Insights",Walmart,"Goshen, AR",via ZipRecruiter,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:31.2,[]
97,40 to 52,an hour,46.0,40.0,52.0,46.0,,95680.0,Flow Cytometry Data Analyst,Actalent,United States,via Indeed,"['6 hours ago', '40 to 52 an hour', 'Full-time']",6 hours ago,Full-time,,00:31.2,[]
98,40 to 52,an hour,46.0,40.0,52.0,46.0,,95680.0,Flow Cytometry Data Analyst,Actalent,United States,via Indeed,"['2 hours ago', '40 to 52 an hour', 'Full-time']",2 hours ago,Full-time,,00:31.2,[]
99,,,,,,,,,Sr Quantitative Analyst - Rec & Analytics,BGE OPCO,United States,via BGE - Careers,"['10 hours ago', 'Full-time', 'Health insurance']",10 hours ago,Full-time,,00:31.2,"['sas', 'sql', 'excel', 'python']"
100,,,,,,,,,Sr Quantitative Analyst - Rec & Analytics,BGE OPCO,United States,via BGE - Careers,"['6 hours ago', 'Full-time', 'Health insurance']",6 hours ago,Full-time,,00:32.3,"['sas', 'sql', 'excel', 'python']"
101,94K to 145K,a year,119500.0,94000.0,145000.0,,119500.0,119500.0,"Scientist I (San Diego, CA)",Eurofins,United States,via Built In,"['20 hours ago', '94K to 145K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,,00:32.3,[]
102,,,,,,,,,"ELISA Scientist (St. Louis, MO)",Eurofins,United States,via Built In,"['20 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,,00:32.3,"['powerpoint', 'word', 'excel']"
103,52K to 57K,a year,54500.0,52000.0,57000.0,,54500.0,54500.0,"Environmental Monitoring Scientist (San Diego, CA)",Eurofins,United States,via Built In,"['20 hours ago', '52K to 57K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,,00:32.3,[]
104,,,,,,,,,"Characterization Scientist (Philadelphia, PA)",Eurofins,United States,via Built In,"['20 hours ago', 'Full-time', 'Health insurance', 'Dental insurance']",20 hours ago,Full-time,,00:32.3,[]
105,,,,,,,,,"Research Associate I (San Diego, CA)",Eurofins,United States,via Built In,"['20 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,,00:32.3,[]
106,,,,,,,,,"Research Associate: Sample Handling (St. Louis, MO)",Eurofins,United States,via Built In,"['20 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,,00:32.3,[]
107,,,,,,,,,"Characterization Scientist/Group Leader (Philadelphia, PA)",Eurofins,United States,via Built In,"['20 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,,00:32.3,[]
108,,,,,,,,,"LC/MS Protein Characterization Scientist (San Diego, CA)",Eurofins,United States,via Built In,"['20 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,,00:32.3,[]
109,,,,,,,,,"GMP Analyst (Indianapolis, IN)",Eurofins,United States,via Built In,"['20 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,,00:32.3,[]
110,,,,,,,,,"Analyst I - GCMS Volatiles (Pensacola, FL)",Eurofins,United States,via Built In,"['20 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,,00:34.7,[]
111,,,,,,,,,"Analyst- Eurofins Environment Testing Phoenix (Phoenix, AZ)",Eurofins,United States,via Built In,"['20 hours ago', 'Full-time']",20 hours ago,Full-time,,00:34.7,[]
112,,,,,,,,,Fraud Analyst,SPECTRUM,"Kansas City, MO",via Nexxt,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:34.7,"['t-sql', 'tableau', 'ssrs', 'microstrategy', 'powerpoint', 'word', 'sql', 'excel', 'hadoop']"
113,,,,,,,,,Fraud Analyst,SPECTRUM,"Kansas City, MO",via SonicJobs,"['3 hours ago', 'Full-time']",3 hours ago,Full-time,,00:34.7,"['t-sql', 'tableau', 'ssrs', 'microstrategy', 'powerpoint', 'word', 'sql', 'excel', 'hadoop']"
114,,,,,,,,,Sr Data Analyst (Smartsheet) -  - w2 role,Superbeo,"Missouri City, MO",via Recruit.net,"['4 hours ago', 'Full-time', 'No degree mentioned']",4 hours ago,Full-time,,00:34.7,"['powerpoint', 'excel']"
115,,,,,,,,,Sr Data Analyst (Smartsheet) -  - w2 role,Superbeo,"Missouri City, MO",via Recruit.net,"['13 minutes ago', 'Full-time', 'No degree mentioned']",13 minutes ago,Full-time,,00:34.7,"['powerpoint', 'excel']"
116,,,,,,,,,Data Analyst - Swisslog,Swisslog,United States,via Swisslog,"['9 hours ago', 'Full-time', 'Health insurance', 'Dental insurance']",9 hours ago,Full-time,,00:34.7,"['power_bi', 'excel', 'word', 'sql', 'r', 'tableau', 'python', 'powerpoint']"
117,,,,,,,,,Data Analyst - Swisslog,Swisslog,United States,via Swisslog,"['23 hours ago', 'Full-time', 'Health insurance', 'Dental insurance']",23 hours ago,Full-time,,00:34.7,"['power_bi', 'excel', 'word', 'sql', 'r', 'tableau', 'python', 'powerpoint']"
118,,,,,,,,,Workday Reporting Data Analyst,Corporate,Missouri,via Big Country Jobs,"['21 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",21 hours ago,Full-time,,00:10.4,['excel']
119,,,,,,,,,Data Analyst III (Healthcare Analytics),Corporate,Missouri,via Big Country Jobs,"['21 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",21 hours ago,Full-time,,00:10.4,['python']
